BillDate,InvoiceNo,StockCode,Description,Quantity,UnitPrice,Total
1/4/17,CC5  ,2125,SS SWEET POTATO  ,0.18,52.00,9.36
1/4/17,CA6  ,3763,AF INS JASMINE  ,1.00,25.00,25.00
1/4/17,CA6  ,3756,AF INS LEMONGRASS  ,1.00,25.00,25.00
1/4/17,CC7  ,3556,24LM KANDA POHA  ,1.00,60.00,60.00
1/4/17,CC7  ,665,24LM Mango Juice  ,1.00,109.00,109.00
1/4/17,CC7  ,676,24LM MG Flakes  ,1.00,149.00,149.00
1/4/17,CC7  ,682,24LM MixedFruit Juice  ,1.00,149.00,149.00
1/4/17,CC7  ,3933,ARYA MIXED MILLET RAVA 500G  ,1.00,85.00,85.00
1/4/17,CC7  ,3714,SO OAT FLAKES  ,1.00,132.00,132.00
1/4/17,CC7  ,2118,SS BEANS LONG  ,0.64,109.00,69.22
1/4/17,CC7  ,2147,SS BEET ROOT  ,0.68,65.00,43.88
1/4/17,CC7  ,3296,SS CABBAGE RED  ,0.47,100.00,46.50
1/4/17,CC7  ,2293,SS GRAPES WHT  ,0.77,189.00,145.53
1/4/17,CC7  ,2294,SS ORANGE  ,0.46,93.00,42.78
1/4/17,CC7  ,3078,TG Masala Papad  ,1.00,65.00,65.00
1/4/17,CC7  ,3323,TO POHA RED  ,1.00,60.00,60.00
1/4/17,CC8  ,2748,Arya Virgin Coconut Oil 250ml  ,2.00,235.00,470.00
1/4/17,CC8  ,2749,Arya Virgin Coconut Oil 500ml  ,2.00,449.00,898.00
1/4/17,CC8  ,3154,LF ALOEVERA GEL  ,2.00,225.00,450.00
1/4/17,CA9  ,3843,SS BABY CORN P  ,1.00,40.00,32.00
1/4/17,CA9  ,2093,SS ENG CUCUMBER  ,0.26,87.00,17.75
1/4/17,CC10  ,2529,24LM IDLY RICE 1KG  ,4.00,85.00,340.00
1/4/17,CC10  ,2284,ARYA CORIANDER SEEDS200G  ,1.00,92.00,92.00
1/4/17,CC10  ,3823,ARYA COW GHEE 200ML  ,1.00,230.00,230.00
1/4/17,CC10  ,3270,ARYA PEANUT CHIKKI 100G  ,1.00,48.00,48.00
1/4/17,CC10  ,3812,HHF EGGS P  ,1.00,130.00,130.00
1/4/17,CC10  ,2492,OT MIX DAL 500G  ,1.00,130.00,130.00
1/4/17,CC10  ,2592,PPS MORINGA PWDR  ,1.00,200.00,200.00
1/4/17,CC10  ,3664,SO HEENG 25G  ,1.00,58.00,58.00
